age,job,marital,education,default,housing,loan,month,day_of_week,campaign,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,subscribed
40,management,married,high.school,no,no,no,8,wed,2,0,nonexistent,1.4,93.444,-36.1,yes
34,admin.,single,university.degree,no,yes,no,8,wed,1,0,nonexistent,1.4,93.444,-36.1,yes
54,management,married,university.degree,no,no,yes,8,wed,1,0,nonexistent,1.4,93.444,-36.1,yes
36,admin.,married,university.degree,no,yes,no,8,wed,1,0,nonexistent,1.4,93.444,-36.1,yes
39,management,married,university.degree,no,yes,no,8,wed,1,0,nonexistent,1.4,93.444,-36.1,yes
34,technician,married,professional.course,no,no,no,8,wed,2,0,nonexistent,1.4,93.444,-36.1,yes
31,technician,married,professional.course,no,yes,no,8,thu,1,0,nonexistent,1.4,93.444,-36.1,yes
36,self-employed,married,basic.9y,unknown,yes,yes,8,thu,2,0,nonexistent,1.4,93.444,-36.1,yes
34,technician,single,university.degree,no,yes,no,8,thu,1,0,nonexistent,1.4,93.444,-36.1,yes
34,admin.,single,university.degree,no,yes,no,8,thu,1,0,nonexistent,1.4,93.444,-36.1,yes
45,admin.,single,university.degree,no,no,no,8,thu,1,0,nonexistent,1.4,93.444,-36.1,yes
54,services,married,high.school,no,yes,no,8,thu,9,0,nonexistent,1.4,93.444,-36.1,yes
36,self-employed,married,basic.9y,unknown,no,no,8,thu,2,0,nonexistent,1.4,93.444,-36.1,yes
31,housemaid,married,basic.6y,no,yes,yes,8,thu,1,0,nonexistent,1.4,93.444,-36.1,yes
30,admin.,married,high.school,unknown,yes,yes,8,thu,1,0,nonexistent,1.4,93.444,-36.1,yes
47,admin.,married,university.degree,no,unknown,unknown,8,thu,2,0,nonexistent,1.4,93.444,-36.1,yes
35,self-employed,married,university.degree,no,yes,no,8,thu,2,0,nonexistent,1.4,93.444,-36.1,yes
47,blue-collar,married,university.degree,unknown,no,no,8,thu,13,0,nonexistent,1.4,93.444,-36.1,yes
54,self-employed,married,high.school,no,yes,yes,8,thu,3,0,nonexistent,1.4,93.444,-36.1,yes
35,technician,married,university.degree,no,unknown,unknown,8,thu,2,0,nonexistent,1.4,93.444,-36.1,yes
30,admin.,married,university.degree,no,yes,no,8,mon,3,0,nonexistent,1.4,93.444,-36.1,yes
35,admin.,single,university.degree,no,yes,no,8,mon,2,0,nonexistent,1.4,93.444,-36.1,yes
50,technician,married,university.degree,no,unknown,unknown,8,mon,2,0,nonexistent,1.4,93.444,-36.1,yes
45,services,married,basic.6y,no,yes,no,8,mon,2,0,nonexistent,1.4,93.444,-36.1,yes
30,technician,single,high.school,no,no,no,8,mon,4,0,nonexistent,1.4,93.444,-36.1,yes
35,technician,married,professional.course,no,no,no,8,mon,2,0,nonexistent,1.4,93.444,-36.1,yes
35,technician,married,professional.course,no,yes,yes,8,mon,4,0,nonexistent,1.4,93.444,-36.1,yes
48,blue-collar,married,university.degree,no,no,no,8,mon,3,0,nonexistent,1.4,93.444,-36.1,yes
49,services,married,basic.4y,unknown,no,no,8,mon,2,0,nonexistent,1.4,93.444,-36.1,yes
41,technician,married,high.school,no,no,no,8,mon,2,0,nonexistent,1.4,93.444,-36.1,yes
54,blue-collar,married,basic.9y,no,yes,no,8,mon,1,0,nonexistent,1.4,93.444,-36.1,yes
47,admin.,married,university.degree,no,no,no,8,mon,6,0,nonexistent,1.4,93.444,-36.1,yes
49,admin.,married,high.school,no,yes,no,8,mon,2,0,nonexistent,1.4,93.444,-36.1,yes
35,admin.,single,university.degree,no,no,no,8,mon,12,0,nonexistent,1.4,93.444,-36.1,yes
58,admin.,married,basic.4y,no,yes,no,8,tue,10,0,nonexistent,1.4,93.444,-36.1,yes
45,admin.,married,high.school,no,yes,no,8,tue,4,0,nonexistent,1.4,93.444,-36.1,yes
35,entrepreneur,divorced,professional.course,unknown,unknown,unknown,8,tue,3,0,nonexistent,1.4,93.444,-36.1,yes
54,technician,married,professional.course,unknown,yes,no,8,tue,2,0,nonexistent,1.4,93.444,-36.1,yes
56,retired,married,basic.4y,no,no,no,8,tue,2,0,nonexistent,1.4,93.444,-36.1,yes
31,admin.,single,university.degree,no,yes,no,8,tue,2,0,nonexistent,1.4,93.444,-36.1,yes
31,technician,single,university.degree,no,yes,no,8,tue,9,0,nonexistent,1.4,93.444,-36.1,yes
29,services,married,professional.course,no,no,no,8,tue,3,0,nonexistent,1.4,93.444,-36.1,yes
51,blue-collar,married,basic.4y,no,unknown,unknown,8,tue,1,0,nonexistent,1.4,93.444,-36.1,yes
39,management,divorced,university.degree,no,no,no,8,wed,1,0,nonexistent,1.4,93.444,-36.1,yes
45,blue-collar,married,basic.6y,no,no,no,8,wed,1,0,nonexistent,1.4,93.444,-36.1,yes
29,admin.,single,university.degree,no,yes,yes,8,wed,1,0,nonexistent,1.4,93.444,-36.1,yes
42,technician,married,professional.course,no,yes,no,8,wed,1,0,nonexistent,1.4,93.444,-36.1,yes
56,admin.,married,university.degree,no,no,no,8,wed,3,0,nonexistent,1.4,93.444,-36.1,yes
57,housemaid,married,basic.4y,no,no,no,8,wed,1,0,nonexistent,1.4,93.444,-36.1,yes
29,admin.,single,university.degree,no,yes,no,8,wed,2,0,nonexistent,1.4,93.444,-36.1,yes
30,admin.,married,university.degree,no,no,no,8,wed,3,0,nonexistent,1.4,93.444,-36.1,yes
31,unemployed,married,university.degree,no,yes,no,8,wed,9,0,nonexistent,1.4,93.444,-36.1,yes
41,admin.,divorced,university.degree,no,yes,no,8,wed,5,0,nonexistent,1.4,93.444,-36.1,yes
36,admin.,single,university.degree,no,yes,no,8,wed,3,0,nonexistent,1.4,93.444,-36.1,yes
29,admin.,married,university.degree,no,yes,no,8,wed,1,0,nonexistent,1.4,93.444,-36.1,yes
29,technician,single,high.school,unknown,no,no,8,wed,3,0,nonexistent,1.4,93.444,-36.1,yes
48,blue-collar,married,basic.9y,unknown,no,no,8,wed,2,0,nonexistent,1.4,93.444,-36.1,yes
59,retired,married,high.school,no,yes,no,8,wed,5,0,nonexistent,1.4,93.444,-36.1,yes
48,services,married,high.school,no,yes,no,8,wed,2,0,nonexistent,1.4,93.444,-36.1,yes
34,admin.,married,high.school,no,yes,no,8,thu,1,0,nonexistent,1.4,93.444,-36.1,yes
51,management,married,university.degree,no,no,no,8,thu,2,0,nonexistent,1.4,93.444,-36.1,yes
52,blue-collar,married,basic.4y,no,no,no,8,thu,3,0,nonexistent,1.4,93.444,-36.1,yes
30,technician,married,high.school,no,no,no,8,thu,2,0,nonexistent,1.4,93.444,-36.1,yes
47,services,divorced,high.school,unknown,no,no,8,thu,6,0,nonexistent,1.4,93.444,-36.1,yes
37,admin.,married,university.degree,no,no,yes,8,thu,3,0,nonexistent,1.4,93.444,-36.1,yes
29,admin.,single,high.school,no,yes,no,8,thu,3,0,nonexistent,1.4,93.444,-36.1,yes
33,technician,married,professional.course,no,unknown,unknown,8,thu,2,0,nonexistent,1.4,93.444,-36.1,yes
49,admin.,married,university.degree,no,no,no,8,thu,1,0,nonexistent,1.4,93.444,-36.1,yes
56,self-employed,married,basic.9y,no,yes,no,8,thu,5,0,nonexistent,1.4,93.444,-36.1,yes
33,admin.,single,university.degree,no,yes,no,8,thu,4,0,nonexistent,1.4,93.444,-36.1,yes
49,blue-collar,married,basic.9y,unknown,yes,no,8,thu,3,0,nonexistent,1.4,93.444,-36.1,yes
54,technician,divorced,professional.course,unknown,yes,no,8,thu,1,0,nonexistent,1.4,93.444,-36.1,yes
35,technician,single,university.degree,no,yes,no,8,fri,4,0,nonexistent,1.4,93.444,-36.1,yes
31,technician,single,university.degree,unknown,yes,no,8,fri,2,0,nonexistent,1.4,93.444,-36.1,yes
33,admin.,married,university.degree,no,yes,no,8,fri,1,0,nonexistent,1.4,93.444,-36.1,yes
33,admin.,married,university.degree,no,yes,no,8,fri,1,0,nonexistent,1.4,93.444,-36.1,yes
48,technician,married,professional.course,no,yes,no,8,fri,8,0,nonexistent,1.4,93.444,-36.1,yes
46,services,married,university.degree,no,no,no,8,fri,1,0,nonexistent,1.4,93.444,-36.1,yes
29,admin.,single,university.degree,no,yes,no,8,fri,1,0,nonexistent,1.4,93.444,-36.1,yes
35,technician,single,high.school,unknown,no,no,8,fri,1,0,nonexistent,1.4,93.444,-36.1,yes
47,services,married,high.school,unknown,yes,no,8,fri,1,0,nonexistent,1.4,93.444,-36.1,yes
38,self-employed,married,basic.9y,unknown,no,no,8,fri,1,0,nonexistent,1.4,93.444,-36.1,yes
53,blue-collar,married,basic.9y,no,yes,no,8,fri,1,0,nonexistent,1.4,93.444,-36.1,yes
29,admin.,married,university.degree,no,no,no,8,fri,3,0,nonexistent,1.4,93.444,-36.1,yes
53,self-employed,married,basic.9y,no,yes,yes,8,fri,7,0,nonexistent,1.4,93.444,-36.1,yes
35,management,married,university.degree,no,no,yes,8,fri,5,0,nonexistent,1.4,93.444,-36.1,yes
46,blue-collar,married,basic.4y,no,yes,no,8,mon,2,0,nonexistent,1.4,93.444,-36.1,yes
44,blue-collar,married,basic.4y,unknown,no,no,8,mon,5,0,nonexistent,1.4,93.444,-36.1,yes
35,management,divorced,university.degree,no,yes,no,8,mon,2,0,nonexistent,1.4,93.444,-36.1,yes
60,retired,married,university.degree,no,yes,no,8,mon,2,0,nonexistent,1.4,93.444,-36.1,yes
57,self-employed,married,university.degree,unknown,yes,no,8,mon,2,0,nonexistent,1.4,93.444,-36.1,yes
35,management,divorced,university.degree,no,no,no,8,mon,3,0,nonexistent,1.4,93.444,-36.1,yes
47,admin.,married,high.school,no,yes,no,8,mon,3,0,nonexistent,1.4,93.444,-36.1,yes
32,technician,single,high.school,no,yes,no,8,mon,3,0,nonexistent,1.4,93.444,-36.1,yes
40,admin.,married,university.degree,no,yes,no,8,mon,3,0,nonexistent,1.4,93.444,-36.1,yes
30,technician,divorced,university.degree,no,no,no,8,mon,3,0,nonexistent,1.4,93.444,-36.1,yes
36,technician,married,high.school,no,yes,no,8,mon,6,0,nonexistent,1.4,93.444,-36.1,yes
39,technician,divorced,professional.course,unknown,yes,no,8,mon,5,0,nonexistent,1.4,93.444,-36.1,yes
38,technician,married,university.degree,no,yes,no,8,mon,6,0,nonexistent,1.4,93.444,-36.1,yes
55,management,married,university.degree,no,no,no,8,mon,3,0,nonexistent,1.4,93.444,-36.1,yes
49,admin.,married,university.degree,no,no,no,8,tue,5,0,nonexistent,1.4,93.444,-36.1,yes
33,technician,married,professional.course,unknown,yes,no,8,tue,7,0,nonexistent,1.4,93.444,-36.1,yes
50,admin.,divorced,high.school,no,no,no,8,tue,9,0,nonexistent,1.4,93.444,-36.1,yes
57,retired,married,basic.9y,no,no,no,8,tue,4,0,nonexistent,1.4,93.444,-36.1,yes
57,retired,married,basic.9y,no,yes,yes,8,tue,4,0,nonexistent,1.4,93.444,-36.1,yes
48,services,married,basic.4y,unknown,yes,no,8,tue,3,0,nonexistent,1.4,93.444,-36.1,yes
29,services,married,professional.course,unknown,yes,no,8,tue,6,0,nonexistent,1.4,93.444,-36.1,yes
58,retired,married,basic.4y,no,no,no,8,tue,6,0,nonexistent,1.4,93.444,-36.1,yes
40,technician,married,professional.course,no,yes,no,8,wed,8,0,nonexistent,1.4,93.444,-36.1,yes
39,admin.,married,university.degree,no,yes,no,8,wed,4,0,nonexistent,1.4,93.444,-36.1,yes
31,technician,single,high.school,no,no,no,8,wed,3,0,nonexistent,1.4,93.444,-36.1,yes
51,admin.,married,university.degree,no,yes,no,8,wed,9,0,nonexistent,1.4,93.444,-36.1,yes
51,technician,married,university.degree,no,yes,no,8,wed,5,0,nonexistent,1.4,93.444,-36.1,yes
44,technician,single,university.degree,no,yes,no,8,wed,3,0,nonexistent,1.4,93.444,-36.1,yes
55,technician,married,professional.course,no,no,no,8,wed,7,0,nonexistent,1.4,93.444,-36.1,yes
47,admin.,married,university.degree,no,yes,no,8,wed,10,0,nonexistent,1.4,93.444,-36.1,yes
30,technician,married,professional.course,no,no,no,8,wed,7,0,nonexistent,1.4,93.444,-36.1,yes
54,housemaid,married,basic.4y,unknown,yes,no,8,wed,3,0,nonexistent,1.4,93.444,-36.1,yes
47,technician,married,university.degree,no,no,no,8,wed,2,0,nonexistent,1.4,93.444,-36.1,yes
41,admin.,married,university.degree,unknown,yes,no,8,thu,11,0,nonexistent,1.4,93.444,-36.1,yes
30,technician,single,university.degree,no,yes,no,8,thu,3,0,nonexistent,1.4,93.444,-36.1,yes
29,technician,married,professional.course,no,yes,no,8,thu,2,0,nonexistent,1.4,93.444,-36.1,yes
37,technician,married,university.degree,no,no,no,8,thu,1,0,nonexistent,1.4,93.444,-36.1,yes
37,admin.,married,university.degree,unknown,no,no,8,thu,1,0,nonexistent,1.4,93.444,-36.1,yes
44,admin.,married,basic.9y,unknown,yes,yes,8,thu,6,0,nonexistent,1.4,93.444,-36.1,yes
42,housemaid,married,university.degree,no,yes,yes,8,thu,3,0,nonexistent,1.4,93.444,-36.1,yes
38,admin.,married,university.degree,no,no,no,8,thu,3,0,nonexistent,1.4,93.444,-36.1,yes
30,admin.,single,university.degree,no,yes,no,8,thu,11,0,nonexistent,1.4,93.444,-36.1,yes
42,admin.,married,high.school,no,yes,yes,10,fri,1,0,nonexistent,-0.1,93.798,-40.4,yes
39,blue-collar,married,basic.9y,no,no,no,10,fri,1,0,nonexistent,-0.1,93.798,-40.4,yes
56,admin.,married,university.degree,no,no,no,10,fri,1,0,nonexistent,-0.1,93.798,-40.4,yes
30,entrepreneur,married,university.degree,no,no,no,10,fri,1,0,nonexistent,-0.1,93.798,-40.4,yes
42,self-employed,married,basic.4y,no,no,no,10,fri,1,0,nonexistent,-0.1,93.798,-40.4,yes
48,admin.,married,high.school,no,no,no,10,mon,1,0,nonexistent,-0.1,93.798,-40.4,yes
30,admin.,single,university.degree,no,yes,yes,10,mon,1,0,nonexistent,-0.1,93.798,-40.4,yes
39,technician,divorced,university.degree,no,no,yes,10,mon,1,0,nonexistent,-0.1,93.798,-40.4,yes
44,admin.,divorced,high.school,no,yes,no,10,tue,1,0,nonexistent,-0.1,93.798,-40.4,yes
59,admin.,married,university.degree,no,no,no,10,tue,1,0,nonexistent,-0.1,93.798,-40.4,yes
33,housemaid,married,high.school,no,no,no,10,tue,1,0,nonexistent,-0.1,93.798,-40.4,yes
32,admin.,married,high.school,no,no,no,10,tue,1,0,nonexistent,-0.1,93.798,-40.4,yes
40,services,married,high.school,no,yes,no,10,tue,1,1,failure,-0.1,93.798,-40.4,yes
27,student,single,high.school,no,no,no,10,tue,1,0,nonexistent,-0.1,93.798,-40.4,yes
30,technician,single,university.degree,no,no,no,10,wed,1,0,nonexistent,-0.1,93.798,-40.4,yes
36,technician,married,high.school,no,no,no,10,wed,1,0,nonexistent,-0.1,93.798,-40.4,yes
43,self-employed,married,high.school,no,yes,no,10,wed,1,0,nonexistent,-0.1,93.798,-40.4,yes
48,admin.,married,university.degree,no,no,no,10,wed,1,0,nonexistent,-0.1,93.798,-40.4,yes
37,admin.,single,high.school,no,yes,no,10,wed,1,0,nonexistent,-0.1,93.798,-40.4,yes
25,services,single,high.school,no,yes,no,10,thu,1,0,nonexistent,-0.1,93.798,-40.4,yes
39,technician,married,professional.course,no,no,no,10,thu,1,0,nonexistent,-0.1,93.798,-40.4,yes
39,blue-collar,married,basic.9y,no,yes,no,10,fri,1,0,nonexistent,-0.1,93.798,-40.4,yes
38,admin.,married,high.school,no,yes,no,10,fri,1,0,nonexistent,-0.1,93.798,-40.4,yes
46,admin.,divorced,university.degree,no,no,no,10,mon,1,0,nonexistent,-0.1,93.798,-40.4,yes
29,technician,single,professional.course,no,yes,no,10,mon,1,0,nonexistent,-0.1,93.798,-40.4,yes
31,admin.,married,university.degree,no,yes,no,10,mon,1,0,nonexistent,-0.1,93.798,-40.4,yes
26,admin.,single,university.degree,no,yes,no,10,mon,1,0,nonexistent,-0.1,93.798,-40.4,yes
31,admin.,single,university.degree,no,yes,no,10,tue,1,0,nonexistent,-0.1,93.798,-40.4,yes
45,technician,divorced,high.school,no,yes,no,10,tue,1,0,nonexistent,-0.1,93.798,-40.4,yes
31,blue-collar,married,basic.6y,no,yes,no,10,tue,1,0,nonexistent,-0.1,93.798,-40.4,yes
34,admin.,single,university.degree,no,no,no,10,tue,1,0,nonexistent,-0.1,93.798,-40.4,yes
27,admin.,single,university.degree,no,no,no,10,tue,1,0,nonexistent,-0.1,93.798,-40.4,yes
33,entrepreneur,married,university.degree,no,yes,no,10,tue,1,0,nonexistent,-0.1,93.798,-40.4,yes
33,technician,married,professional.course,no,yes,no,10,wed,1,0,nonexistent,-0.1,93.798,-40.4,yes
30,admin.,married,university.degree,no,no,no,10,wed,1,0,nonexistent,-0.1,93.798,-40.4,yes
34,blue-collar,single,high.school,no,yes,no,10,wed,1,0,nonexistent,-0.1,93.798,-40.4,yes
36,self-employed,single,university.degree,no,yes,no,10,thu,1,0,nonexistent,-0.1,93.798,-40.4,yes
56,technician,married,high.school,no,no,no,10,thu,1,0,nonexistent,-0.1,93.798,-40.4,yes
31,technician,single,university.degree,no,no,no,10,thu,1,0,nonexistent,-0.1,93.798,-40.4,yes
34,blue-collar,divorced,high.school,no,yes,no,10,thu,1,0,nonexistent,-0.1,93.798,-40.4,yes
38,entrepreneur,married,basic.4y,no,no,no,10,fri,1,0,nonexistent,-0.1,93.798,-40.4,yes
42,management,married,university.degree,no,no,no,10,fri,1,0,nonexistent,-0.1,93.798,-40.4,yes
32,technician,married,professional.course,no,yes,no,11,tue,1,0,nonexistent,-0.1,93.2,-42.0,yes
30,blue-collar,married,basic.9y,no,no,no,11,tue,1,0,nonexistent,-0.1,93.2,-42.0,yes
50,entrepreneur,married,university.degree,no,no,no,11,tue,1,0,nonexistent,-0.1,93.2,-42.0,yes
45,admin.,married,university.degree,no,no,no,11,wed,1,0,nonexistent,-0.1,93.2,-42.0,yes
25,management,married,university.degree,no,yes,no,11,wed,1,0,nonexistent,-0.1,93.2,-42.0,yes
39,management,married,university.degree,no,yes,no,11,wed,1,0,nonexistent,-0.1,93.2,-42.0,yes
27,self-employed,married,professional.course,no,no,no,11,wed,1,0,nonexistent,-0.1,93.2,-42.0,yes
41,admin.,single,high.school,no,yes,no,11,thu,1,0,nonexistent,-0.1,93.2,-42.0,yes
29,technician,married,university.degree,no,yes,no,11,thu,1,0,nonexistent,-0.1,93.2,-42.0,yes
31,blue-collar,married,basic.9y,no,yes,no,11,fri,1,0,nonexistent,-0.1,93.2,-42.0,yes
29,admin.,married,basic.9y,no,yes,no,11,fri,1,0,nonexistent,-0.1,93.2,-42.0,yes
47,student,single,university.degree,no,unknown,unknown,11,mon,1,0,nonexistent,-0.1,93.2,-42.0,yes
58,retired,divorced,basic.9y,no,yes,no,11,mon,1,0,nonexistent,-0.1,93.2,-42.0,yes
32,unemployed,married,professional.course,no,yes,no,11,tue,1,0,nonexistent,-0.1,93.2,-42.0,yes
33,services,married,high.school,no,no,no,11,tue,1,0,nonexistent,-0.1,93.2,-42.0,yes
36,admin.,married,high.school,no,yes,no,11,wed,1,1,failure,-0.1,93.2,-42.0,yes
58,management,divorced,university.degree,no,no,no,11,wed,1,0,nonexistent,-0.1,93.2,-42.0,yes
42,admin.,married,professional.course,no,yes,no,11,thu,1,0,nonexistent,-0.1,93.2,-42.0,yes
40,blue-collar,married,basic.9y,no,unknown,unknown,11,thu,1,0,nonexistent,-0.1,93.2,-42.0,yes
37,admin.,divorced,university.degree,no,no,yes,11,fri,1,0,nonexistent,-0.1,93.2,-42.0,yes
35,technician,single,professional.course,no,yes,no,11,fri,1,0,nonexistent,-0.1,93.2,-42.0,yes
34,management,married,university.degree,no,no,no,11,fri,1,0,nonexistent,-0.1,93.2,-42.0,yes
55,blue-collar,married,basic.9y,no,no,no,11,mon,1,0,nonexistent,-0.1,93.2,-42.0,yes
55,blue-collar,married,basic.9y,no,no,no,11,mon,1,0,nonexistent,-0.1,93.2,-42.0,yes
48,blue-collar,divorced,professional.course,no,no,no,11,mon,1,0,nonexistent,-0.1,93.2,-42.0,yes
48,admin.,single,university.degree,no,yes,no,11,mon,2,0,nonexistent,-0.1,93.2,-42.0,yes
40,admin.,married,university.degree,unknown,no,no,11,mon,1,0,nonexistent,-0.1,93.2,-42.0,yes
42,admin.,married,high.school,no,no,no,11,mon,2,1,failure,-0.1,93.2,-42.0,yes
34,entrepreneur,married,university.degree,unknown,yes,no,11,mon,2,0,nonexistent,-0.1,93.2,-42.0,yes
45,blue-collar,married,basic.6y,unknown,yes,no,11,mon,2,0,nonexistent,-0.1,93.2,-42.0,yes
31,technician,single,university.degree,no,yes,no,11,mon,1,0,nonexistent,-0.1,93.2,-42.0,yes
46,admin.,married,university.degree,unknown,yes,yes,11,mon,1,0,nonexistent,-0.1,93.2,-42.0,yes
32,blue-collar,married,high.school,no,yes,no,11,mon,1,0,nonexistent,-0.1,93.2,-42.0,yes
35,blue-collar,married,high.school,no,no,no,11,mon,2,0,nonexistent,-0.1,93.2,-42.0,yes
45,management,married,university.degree,no,yes,yes,11,mon,1,0,nonexistent,-0.1,93.2,-42.0,yes
34,entrepreneur,married,basic.6y,unknown,yes,no,11,mon,1,0,nonexistent,-0.1,93.2,-42.0,yes
32,blue-collar,married,basic.9y,no,no,no,11,mon,2,1,success,-0.1,93.2,-42.0,yes
57,retired,married,university.degree,no,yes,yes,11,mon,2,0,nonexistent,-0.1,93.2,-42.0,yes
44,entrepreneur,married,university.degree,no,yes,no,11,mon,2,1,failure,-0.1,93.2,-42.0,yes
52,services,divorced,high.school,unknown,yes,yes,11,mon,2,1,failure,-0.1,93.2,-42.0,yes
37,entrepreneur,married,university.degree,unknown,no,no,11,mon,1,0,nonexistent,-0.1,93.2,-42.0,yes
55,admin.,married,professional.course,unknown,yes,yes,11,tue,2,0,nonexistent,-0.1,93.2,-42.0,yes
50,technician,married,professional.course,no,yes,no,11,tue,1,0,nonexistent,-0.1,93.2,-42.0,yes
40,management,married,university.degree,no,no,no,11,tue,2,1,failure,-0.1,93.2,-42.0,yes
41,entrepreneur,married,university.degree,no,yes,no,11,tue,1,0,nonexistent,-0.1,93.2,-42.0,yes
52,management,married,university.degree,no,unknown,unknown,11,tue,1,0,nonexistent,-0.1,93.2,-42.0,yes
30,technician,single,professional.course,no,no,yes,11,tue,1,0,nonexistent,-0.1,93.2,-42.0,yes
38,blue-collar,divorced,university.degree,no,no,no,11,tue,1,0,nonexistent,-0.1,93.2,-42.0,yes
30,unemployed,married,high.school,no,yes,yes,11,tue,1,0,nonexistent,-0.1,93.2,-42.0,yes
30,admin.,divorced,university.degree,no,no,no,11,tue,1,0,nonexistent,-0.1,93.2,-42.0,yes
52,management,married,university.degree,unknown,yes,no,11,tue,1,0,nonexistent,-0.1,93.2,-42.0,yes
57,management,married,university.degree,no,yes,yes,11,tue,2,1,failure,-0.1,93.2,-42.0,yes
54,entrepreneur,married,professional.course,no,no,no,11,tue,1,0,nonexistent,-0.1,93.2,-42.0,yes
39,technician,married,university.degree,no,no,yes,11,tue,2,0,nonexistent,-0.1,93.2,-42.0,yes
38,self-employed,married,professional.course,no,no,no,11,tue,2,0,nonexistent,-0.1,93.2,-42.0,yes
50,housemaid,married,basic.4y,no,yes,no,11,tue,2,0,nonexistent,-0.1,93.2,-42.0,yes
39,blue-collar,married,basic.9y,no,yes,no,11,tue,4,1,failure,-0.1,93.2,-42.0,yes
35,admin.,single,university.degree,no,no,no,11,tue,1,0,nonexistent,-0.1,93.2,-42.0,yes
37,entrepreneur,married,university.degree,no,no,no,11,tue,1,0,nonexistent,-0.1,93.2,-42.0,yes
36,technician,single,professional.course,no,yes,no,11,tue,1,1,failure,-0.1,93.2,-42.0,yes
35,technician,single,high.school,no,yes,yes,11,wed,3,0,nonexistent,-0.1,93.2,-42.0,yes
31,admin.,single,high.school,no,no,no,11,wed,1,0,nonexistent,-0.1,93.2,-42.0,yes
58,management,divorced,university.degree,no,no,no,11,wed,1,1,success,-0.1,93.2,-42.0,yes
32,technician,married,professional.course,no,yes,yes,11,wed,1,0,nonexistent,-0.1,93.2,-42.0,yes
35,admin.,married,university.degree,no,yes,no,11,wed,1,0,nonexistent,-0.1,93.2,-42.0,yes
34,technician,married,university.degree,no,yes,no,11,wed,1,0,nonexistent,-0.1,93.2,-42.0,yes
35,admin.,married,university.degree,no,yes,no,11,wed,1,0,nonexistent,-0.1,93.2,-42.0,yes
36,admin.,divorced,high.school,no,yes,no,11,wed,1,0,nonexistent,-0.1,93.2,-42.0,yes
29,housemaid,single,high.school,no,no,no,11,wed,1,0,nonexistent,-0.1,93.2,-42.0,yes
29,housemaid,single,high.school,no,yes,no,11,wed,1,0,nonexistent,-0.1,93.2,-42.0,yes
46,blue-collar,married,basic.9y,no,yes,yes,11,wed,1,0,nonexistent,-0.1,93.2,-42.0,yes
43,management,married,university.degree,no,yes,yes,11,wed,1,1,failure,-0.1,93.2,-42.0,yes
43,services,divorced,high.school,no,no,no,11,wed,1,0,nonexistent,-0.1,93.2,-42.0,yes
30,entrepreneur,single,university.degree,no,yes,no,11,wed,3,0,nonexistent,-0.1,93.2,-42.0,yes
33,services,married,high.school,no,yes,no,11,wed,2,0,nonexistent,-0.1,93.2,-42.0,yes
51,self-employed,divorced,university.degree,no,yes,no,11,wed,1,0,nonexistent,-0.1,93.2,-42.0,yes
34,technician,married,high.school,no,no,yes,11,wed,1,0,nonexistent,-0.1,93.2,-42.0,yes
43,admin.,single,high.school,no,no,no,11,wed,1,1,failure,-0.1,93.2,-42.0,yes
35,admin.,married,university.degree,no,yes,no,11,wed,2,0,nonexistent,-0.1,93.2,-42.0,yes
31,management,single,university.degree,no,yes,no,11,wed,2,0,nonexistent,-0.1,93.2,-42.0,yes
36,entrepreneur,single,university.degree,no,yes,no,11,wed,1,0,nonexistent,-0.1,93.2,-42.0,yes
36,entrepreneur,single,university.degree,no,yes,no,11,wed,1,0,nonexistent,-0.1,93.2,-42.0,yes
29,management,single,university.degree,no,no,no,11,wed,1,0,nonexistent,-0.1,93.2,-42.0,yes
40,blue-collar,married,basic.6y,no,yes,no,11,wed,1,0,nonexistent,-0.1,93.2,-42.0,yes
30,services,married,professional.course,no,yes,no,11,wed,2,0,nonexistent,-0.1,93.2,-42.0,yes
31,blue-collar,single,high.school,no,yes,no,11,wed,1,1,success,-0.1,93.2,-42.0,yes
43,admin.,divorced,university.degree,no,no,no,11,wed,1,0,nonexistent,-0.1,93.2,-42.0,yes
38,technician,married,professional.course,unknown,no,no,11,wed,1,0,nonexistent,-0.1,93.2,-42.0,yes
35,admin.,married,university.degree,no,yes,no,11,wed,2,0,nonexistent,-0.1,93.2,-42.0,yes
37,admin.,single,university.degree,no,no,no,11,wed,1,0,nonexistent,-0.1,93.2,-42.0,yes
35,admin.,married,university.degree,no,yes,yes,11,wed,2,0,nonexistent,-0.1,93.2,-42.0,yes
36,admin.,single,university.degree,no,no,no,11,wed,1,0,nonexistent,-0.1,93.2,-42.0,yes
56,blue-collar,divorced,basic.9y,no,yes,no,11,wed,3,0,nonexistent,-0.1,93.2,-42.0,yes
37,services,single,high.school,no,yes,no,11,wed,1,0,nonexistent,-0.1,93.2,-42.0,yes
57,management,married,university.degree,no,yes,no,11,wed,2,0,nonexistent,-0.1,93.2,-42.0,yes
48,admin.,married,high.school,no,no,no,11,wed,4,0,nonexistent,-0.1,93.2,-42.0,yes
52,management,married,university.degree,no,yes,no,11,wed,3,0,nonexistent,-0.1,93.2,-42.0,yes
36,entrepreneur,single,university.degree,no,no,no,11,wed,2,0,nonexistent,-0.1,93.2,-42.0,yes
30,technician,single,professional.course,no,no,no,11,wed,2,0,nonexistent,-0.1,93.2,-42.0,yes
56,entrepreneur,married,basic.9y,no,no,yes,11,wed,2,1,failure,-0.1,93.2,-42.0,yes
